
Final - fast>>Boogie Woogie-Main Class
Stn.,Position,Teor.,Type,BBW,BBM,LF,DF,MI,Obs.,Sum,Total
17,1,68.25,Slow:,"2,44
3|1,875|2,25|2,25|3|2,625|2,625|1,875","2,89
3|2,25|3|3|3|3|3|2,625","4,9
5,625|3,375|5,25|4,5|4,875|4,875|5,625|4,5","3,43
3,25|2,5|3,5|3,5|3,75|3,25|3,5|3,75","7,65
7,5|5,625|8,125|7,5|7,5|7,5|8,125|9,375",,"21,32","46,14"
Fast:,"2,8
3|2,25|2,25|2,625|3|3|2,25|2,25","3,17
3|2,25|2,625|3,375|3,375|3,375|2,625|2,625","5,67
5,25|3,75|5,625|5,625|5,25|4,5|5,25|4,875","3,88
2,75|3|3,75|3,75|3,5|3,5|3,75|3,75","9,29
6,875|6,875|8,125|9,375|8,75|8,75|8,125|10",,"24,82"
5,2,68.25,Slow:,"2,6
3|2,625|2,625|2,25|3|3,375|1,875|1,875","2,91
3|2,625|3|3|3|3,375|2,625|2,625","4,94
4,875|4,875|5,25|4,5|4,875|6|4,875|4,875","3,42
3|3|3,75|3,25|3,5|3,5|3,75|3,5","7,5
6,25|6,25|8,75|5,625|7,5|8,125|8,125|7,5",,"21,38","44,3"
Fast:,"2,89
3|3|2,625|2,625|3|2,625|1,875|1,875","3,3
3|3|3,375|3|3|3|3|2,625","5,26
4,5|4,875|6|4,5|4,875|4,125|4,875|4,875","3,54
2,75|3,25|3,5|3|3,25|2,5|3,75|3,5","7,94
6,25|6,875|9,375|5,625|6,875|7,5|8,125|8,125",,"22,92"
23,3,68.25,Slow:,"2,51
2,625|2,25|2,625|2,25|2,625|3|2,625|1,5","2,48
2,625|1,5|2,625|2,625|2,625|2,625|2,625|1,5","4,78
4,875|4,125|5,25|3,75|5,25|4,875|4,875|4,5","3
2,5|2,25|3,25|2,75|3,5|2,75|3,25|3,75","8,13
6,875|7,5|9,375|8,75|7,5|9,375|7,5|8,75",,"20,9","43,08"
Fast:,"2,55
3|1,875|2,625|2,25|2,25|3|2,25|1,5","2,64
3|1,875|2,625|2,625|2,25|2,625|2,25|1,875","5,23
3,75|3|5,625|4,5|4,875|5,625|4,5|6,375","3,11
1,75|1,25|1,25|2,75|3,25|3,25|3|3,5","8,65
5,625|5|6,25|8,75|6,875|9,375|8,75|10,625",,"22,18"
22,4,68.25,Slow:,"2,6
2,625|2,625|2,25|2,25|3,375|3,375|2,625|1,5","2,65
2,625|2,625|2,25|2,625|3,375|3,375|2,625|1,875","4,49
2,25|3,375|5,25|4,125|5,625|4,875|4,875|3,75","2,84
2|2|2,75|2|3,5|3|3,75|3,25","7,19
5,625|6,25|6,25|5,625|8,75|8,75|8,125|8,125",,"19,76","42,4"
Fast:,"2,84
3|3|2,25|2,25|3|3|1,875|1,875","2,89
3|2,25|2,625|2,25|3|3|2,625|2,25","4,92
4,5|4,5|4,875|3,375|4,875|4,5|4,5|4,125","3,29
2,5|2,25|3,25|2,25|3,5|3,25|3,25|3","8,7
5,625|8,75|7,5|5,625|8,75|7,5|8,125|9,375",,"22,64"
7,5,68.25,Slow:,"2,44
3|1,875|2,25|1,875|3|3,375|2,625|1,5","2,77
3|1,5|3|2,25|3|3|3|1,875","4,75
4,875|4,125|5,25|3,75|4,875|4,875|5,25|4,125","3,04
2,75|1,75|3,5|2,25|3,25|3,5|3,25|3","7,21
6,875|5|8,125|6,25|7,5|7,5|8,125|6,875",,"20,22","41,6"
Fast:,"2,59
3|2,25|2,625|1,875|2,625|2,625|1,875|1,5","2,86
3|1,875|3|2,625|2,625|2,25|3|2,25","4,89
4,5|2,25|4,875|4,125|4,5|4,5|4,5|4,5","3,17
2,75|1,75|3,25|2,75|3|2,5|3,25|3,25","7,88
6,25|6,25|8,125|6,875|7,5|6,25|8,125|9,375",,"21,38"
16,6,68.25,Slow:,"2,51
2,625|1,875|2,625|2,625|2,625|3|2,25|2,25","2,54
2,625|1,875|2,625|3|2,625|2,625|2,625|1,875","4,53
4,875|3|4,875|4,875|4,5|4,5|4,5|4,125","2,97
2,5|2,25|3|3|3,25|3|3|3,5","6,81
6,875|5|6,875|6,875|8,125|6,25|6,25|8,125",,"19,36","39,53"
Fast:,"2,52
2,625|2,25|2,25|2,25|2,625|2,625|1,875|1,875","2,55
3|1,875|2,25|2,625|2,625|2,25|2,25|1,875","4,78
4,125|3,75|4,5|4,125|4,5|4,5|4,5|4,5","3,38
2,25|2,25|3|3,25|3,5|3|3,25|3,5","6,93
5|6,25|6,875|6,25|8,75|6,25|5,625|8,125",,"20,17"
4,7,68.25,Slow:,"2,25
2,625|1,875|2,25|2,25|2,25|2,625|2,25|1,875","2,25
2,625|2,25|2,25|2,625|2,25|1,875|1,875|2,25","3,97
3,375|3,75|4,5|4,5|4,5|3,75|4,125|3,375","2,93
2|2,75|3|3,25|3|2,5|3|3,5","5,63
4,375|5|6,25|5|6,875|6,875|5,625|5,625",,"17,03","36,28"
Fast:,"2,45
2,625|2,625|2,25|1,875|2,25|2,625|1,875|1,5","2,53
2,625|3|2,25|2,625|2,25|2,25|1,875|1,5","4,46
4,125|4,5|4,875|3,375|4,125|4,125|3,75|3,375","2,98
1,75|2,5|3,25|2,5|3,5|2,5|2,75|3","6,84
5|6,875|5,625|5|6,875|6,875|5|8,125",,"19,25"
BBW,Boogie Woogie Basics - Woman
BBM,Boogie Woogie Basics - Man
LF,"Lead and follow, basic dancing, harmony, dance performance"
DF,Dance Figures (how do they present)
MI,Music Interpretation (what do they present)
