
Semi Final>>Boogie Woogie-Main Class
Stn.,Position,Teor.,BBW,BBM,LF,DF,MI,Obs.,Sum,Total
5,1,65,"5,16
6,75|5,25|5,25|4,5|5,25|6|3,75|4,5","5,85
6|6|6|6|5,25|6,75|4,5|5,25","8,96
8,25|8,25|11,25|9|9|9|9|11,25","5,75
5|5,5|6|5,5|6|4,5|7|7","15,62
16,25|16,25|17,5|13,75|15|12,5|15|18,75",,"41,35","41,35"
17,2,65,"4,65
6,75|4,5|4,5|4,5|6|6|3,75|4,5","5,62
6,75|4,5|6|6,75|6|5,25|4,5|5,25","9,37
7,5|7,5|9,75|9|10,5|9,75|9|9,75","6,42
6,5|5,5|6,5|6|7|5,5|6,5|7,5","14,54
7,5|11,25|15|13,75|16,25|16,25|12,5|16,25",,"40,61","40,61"
7,3,65,"4,87
3,75|6|5,25|4,5|3|5,25|6|3","5,17
4,5|6|3,75|6|5,25|5,25|5,25|4,5","8,95
9|9,75|6|9|8,25|9|9|9","5,92
6,5|6|4|6|4,5|6,5|6|5,5","13,85
15|12,5|13,75|15|13,75|15|13,75|12,5",,"38,77","38,77"
22,4,65,"4,5
5,25|3,75|4,5|4,5|5,25|6|3,75|3,75","4,5
6|3|4,5|3,75|5,25|5,25|4,5|3,75","8,95
6,75|8,25|9|6,75|9,75|9|9,75|9","5,56
3|3,5|6,5|4,5|6,5|5|6,5|6","13,74
12,5|13,75|13,75|10|16,25|16,25|12,5|15",,"37,25","37,25"
4,5,65,"4,58
5,25|4,5|5,25|3,75|4,5|6|4,5|3,75","5,03
5,25|5,25|5,25|5,25|4,5|5,25|3,75|4,5","8,42
9|8,25|9,75|6,75|8,25|9,75|8,25|8,25","5,8
4|5,5|6,5|5,5|5,5|6|6|6,5","11,81
8,75|13,75|13,75|8,75|10|15|10|16,25",,"35,64","35,64"
16,6,65,"4,19
6|3,75|4,5|3,75|5,25|3,75|6|3,75","4,82
5,25|3,75|4,5|5,25|5,25|3,75|5,25|4,5","7,94
7,5|6,75|9|9|9|7,5|7,5|8,25","5,77
3,5|4,5|6|6,5|5,5|7|5,5|6","11,85
10|11,25|8,75|10|13,75|16,25|13,75|12,5",,"34,56","34,56"
23,7,65,"4,2
5,25|3,75|5,25|3,75|3,75|6|4,5|3,75","4,79
5,25|5,25|5,25|3,75|3,75|5,25|4,5|3,75","8,62
9|6|9,75|8,25|6,75|6,75|9|9","4
2,5|1,5|3|4|5,5|4|5|6,5","11,02
10|7,5|10|12,5|10|13,75|15|16,25",,"32,63","32,63"
1,8,65,"3,83
5,25|3|5,25|3|3,75|4,5|3,75|3,75","3,82
5,25|3,75|4,5|3|3,75|3,75|3,75|3,75","7,19
9|5,25|9|4,5|8,25|7,5|6,75|6,75","5,01
5|3|6|3,5|5,5|4|5|6","10,69
12,5|7,5|13,75|6,25|12,5|8,75|8,75|13,75",,"30,53","30,53"
21,9,65,"4,07
4,5|6|3|3|4,5|6|2,25|3,75","4,1
4,5|4,5|3,75|3,75|4,5|5,25|3|3","7,11
6,75|7,5|6|6|7,5|8,25|5,25|8,25","4,52
3,5|2|4,5|4|5,5|5,5|4,5|7","9,21
7,5|8,75|8,75|8,75|12,5|12,5|10|15",,"28,99","28,99"
18,10,65,"4,09
4,5|3|3,75|4,5|4,5|5,25|2,25|2,25","3,82
4,5|3|3,75|6|4,5|3,75|2,25|3,75","7,35
4,5|6|7,5|9,75|7,5|7,5|4,5|7,5","4,52
3|2|5|6,5|5,5|4|3,5|6","9,15
6,25|7,5|10|15|13,75|8,75|6,25|15",,"28,93","28,93"
25,11,65,"3,4
3,75|3,75|3|3|3|4,5|3,75|3","4,1
3,75|3,75|3|4,5|4,5|4,5|4,5|3,75","6,11
6|5,25|6|7,5|6|7,5|3,75|6,75","4,27
5|3,5|2|4,5|3|5|4|5","10,04
12,5|5|8,75|10|11,25|11,25|10|8,75",,"27,92","27,92"
10,12,65,"3,43
4,5|3,75|3|3|4,5|3|3,75|3","3,6
4,5|3|3|3,75|3,75|3,75|3,75|3","6,75
7,5|6,75|6|6|7,5|6|8,25|6,75","4,29
3,5|4|4|3,5|5|4,5|5,5|6","9,45
5|10|7,5|7,5|11,25|8,75|11,25|11,25",,"27,52","27,52"
24,13,65,"3,22
4,5|3|3|3|4,5|3,75|3|3","3,67
3,75|3|3|3|4,5|3,75|4,5|3,75","6,63
8,25|6,75|6|5,25|9|6,75|6,75|6","4,04
3,5|2,5|4|4|6,5|6,5|4|4,5","9,47
6,25|10|6,25|5|11,25|15|11,25|8,75",,"27,04","27,04"
15,14,65,"3,08
3|3,75|3|3|3,75|4,5|2,25|2,25","3,22
3|3|3|3,75|3,75|4,5|3|3","5,89
6|5,25|5,25|8,25|6|6|5,25|7,5","4,06
2,5|4|3|5|4|4,5|4|6","6,76
5|8,75|3,75|10|7,5|6,25|6,25|15",,23,23
BBW,Boogie Woogie Basics - Woman
BBM,Boogie Woogie Basics - Man
LF,"Lead and follow, basic dancing, harmony, dance performance"
DF,Dance Figures (how do they present)
MI,Music Interpretation (what do they present)
